"Subject","Week","Stim","StimOrd","Cue","Group","Scene","Enc_Trial","Emo","Arous","Crav","EmoRT","ArousRT","CravRT","Stim.1","StimOn","CueID","Block_Recog","Trial_Recog","RecogResp","RecogRT","RecogAcc","RecogConf","Trial_Ret","InOut","InOutResp","InOutRT","InOutAcc","CorrScene","FamScene","CorrLoc","ObjLoc","RetResp","RetRT","RetSpec","RetObj","SceneConf","Trial_Emo","VividResp","VividRT","Emo_Mem","EmoRT_Mem","Arous_Mem","ArousRT_Mem","Crav_Mem","CravRT_Mem","Pill","FirstPill","Emo_Code","Emo_Label","Arous_All","ArousHiLo","Crav_All","CravHiLo","Emo_Code_Mem","Emo_Label_Mem","Arous_All_Mem","ArousHiLo_Mem","Crav_All_Mem","CravHiLo_Mem","Vivid_All","Emo_Dist_All","Emo_Dist","Arous_Dist","Crav_Dist"
"9001","a","alc",1,"alc_b_001.jpg",1,"outside_055_a.jpg",9,51,50,49,1457,1744,1182,"alc",109,"old",1,29,79,434,1,"Conf_Old",36,2,79,1539,1,"outside_055_a.jpg","inside_060_a.jpg",1,2,89,1739,1,1,3,28,89,1019,85,737,89,286,89,450,"Cortisol","Cortisol",3,"Happy",2,"Low",1,"Low",2,"Neutral",1,"Low",1,"Low",1,1.4142135623731,-1,-1,0
"9001","a","alc",1,"alc_b_006.jpg",1,"inside_039_a.jpg",6,50,49,49,953,923,1211,"alc",73,"old",1,26,73,218,1,"Uns_Old",39,1,89,1241,1,"inside_039_a.jpg","inside_034_a.jpg",2,1,85,2249,1,1,2,3,85,329,85,662,89,1092,89,329,"Cortisol","Cortisol",2,"Neutral",1,"Low",1,"Low",2,"Neutral",1,"Low",1,"Low",2,0,0,0,0
"9001","a","alc",1,"alc_b_013.jpg",1,"inside_067_a.jpg",8,50,49,49,605,702,322,"alc",98,"old",2,10,73,226,1,"Uns_Old",17,1,89,1202,1,"inside_067_a.jpg","outside_038_a.jpg",1,2,73,2506,0,0,1,12,89,1155,85,489,89,1260,89,415,"Cortisol","Cortisol",2,"Neutral",1,"Low",1,"Low",2,"Neutral",1,"Low",1,"Low",1,0,0,0,0
"9001","a","alc",1,"alc_b_019.jpg",1,"outside_075_a.jpg",3,51,50,50,784,884,933,"alc",30,"old",2,17,73,1123,1,"Uns_Old",38,2,0,0,0,"outside_075_a.jpg","outside_001_a.jpg",4,3,79,104,1,1,3,29,79,855,73,506,85,760,85,764,"Cortisol","Cortisol",3,"Happy",2,"Low",2,"Low",3,"Happy",2,"Low",2,"Low",4,0,0,0,0
"9001","a","alc",1,"alc_b_022.jpg",1,"inside_059_a.jpg",10,51,50,50,1072,1077,837,"alc",120,"old",2,5,79,661,1,"Conf_Old",1,1,89,652,1,"inside_059_a.jpg","outside_060_a.jpg",1,2,89,1312,1,1,4,14,79,93,73,274,73,406,85,250,"Cortisol","Cortisol",3,"Happy",2,"Low",2,"Low",3,"Happy",3,"High",2,"Low",4,1,0,1,0
"9001","a","alc",1,"alc_b_026.jpg",1,"outside_060_a.jpg",4,50,50,49,1483,1305,851,"alc",51,"old",2,27,79,494,1,"Conf_Old",31,2,79,955,1,"outside_060_a.jpg","outside_070_a.jpg",2,1,85,1330,1,1,4,20,79,1167,73,1825,79,2,85,1371,"Cortisol","Cortisol",2,"Neutral",2,"Low",1,"Low",3,"Happy",4,"High",2,"Low",4,2.44948974278318,1,2,1
"9001","a","alc",1,"alc_b_032.jpg",1,"inside_030_a.jpg",1,50,49,49,809,863,871,"alc",4,"old",2,23,89,283,4,"Conf_New",14,1,79,1668,0,"inside_030_a.jpg","inside_007_a.jpg",4,3,79,2500,1,1,3,34,79,710,85,1105,89,902,89,260,"Cortisol","Cortisol",2,"Neutral",1,"Low",1,"Low",2,"Neutral",1,"Low",1,"Low",4,0,0,0,0
"9001","a","alc",1,"alc_b_036.jpg",1,"outside_009_a.jpg",2,51,50,50,573,671,386,"alc",15,"old",1,21,79,228,1,"Conf_Old",40,2,79,754,1,"outside_009_a.jpg","outside_046_a.jpg",3,4,73,1251,1,1,4,9,79,322,73,1069,73,1530,85,871,"Cortisol","Cortisol",3,"Happy",2,"Low",2,"Low",3,"Happy",3,"High",2,"Low",4,1,0,1,0
"9001","a","alc",1,"alc_b_037.jpg",1,"outside_019_a.jpg",7,51,50,49,497,964,1311,"alc",86,"old",1,20,89,280,4,"Conf_New",4,2,79,1298,1,"outside_019_a.jpg","inside_028_a.jpg",1,2,73,3067,0,0,3,39,79,626,73,750,85,803,85,1298,"Cortisol","Cortisol",3,"Happy",2,"Low",1,"Low",3,"Happy",2,"Low",2,"Low",4,1,0,0,1
"9001","a","alc",1,"alc_b_047.jpg",1,"inside_028_a.jpg",5,49,50,49,490,509,341,"alc",62,"old",1,15,89,485,4,"Conf_New",15,1,89,847,1,"inside_028_a.jpg","outside_039_a.jpg",2,1,89,2566,0,1,2,10,85,1779,89,1030,85,1355,89,976,"Cortisol","Cortisol",1,"Unhappy",2,"Low",1,"Low",1,"Unhappy",2,"Low",1,"Low",2,0,0,0,0
"9001","a","alc",1,"alc_l_007.jpg",1,"outside_070_a.jpg",23,51,51,50,486,411,496,"alc",291,"old",2,8,79,308,1,"Conf_Old",25,2,79,1111,1,"outside_070_a.jpg","outside_040_a.jpg",3,4,79,2240,0,1,3,33,73,907,73,407,85,308,85,73,"Cortisol","Cortisol",3,"Happy",3,"High",2,"Low",3,"Happy",2,"Low",2,"Low",3,1,0,-1,0
"9001","a","alc",1,"alc_l_009.jpg",1,"inside_071_a.jpg",26,50,49,49,1175,1148,632,"alc",340,"old",2,15,79,485,1,"Conf_Old",34,1,79,1653,0,"inside_071_a.jpg","outside_049_a.jpg",4,3,79,2533,1,1,3,11,89,1323,85,568,89,1604,89,743,"Cortisol","Cortisol",2,"Neutral",1,"Low",1,"Low",2,"Neutral",1,"Low",1,"Low",1,0,0,0,0
"9001","a","alc",1,"alc_l_021.jpg",1,"inside_001_a.jpg",29,49,51,49,1492,1123,411,"alc",386,"old",1,7,85,256,4,"Uns_New",10,1,79,1155,0,"inside_001_a.jpg","inside_039_a.jpg",2,1,0,0,0,0,1,40,73,1380,89,1848,89,885,89,451,"Cortisol","Cortisol",1,"Unhappy",3,"High",1,"Low",1,"Unhappy",1,"Low",1,"Low",3,2,0,-2,0
"9001","a","alc",1,"alc_l_022.jpg",1,"outside_063_a.jpg",21,50,49,49,637,329,302,"alc",267,"old",1,5,79,362,1,"Conf_Old",7,2,79,720,1,"outside_063_a.jpg","inside_066_a.jpg",1,2,85,1370,0,1,3,24,85,969,85,486,89,250,89,53,"Cortisol","Cortisol",2,"Neutral",1,"Low",1,"Low",2,"Neutral",1,"Low",1,"Low",2,0,0,0,0
"9001","a","alc",1,"alc_l_023.jpg",1,"inside_034_a.jpg",22,51,51,50,360,376,340,"alc",278,"old",2,39,79,229,1,"Conf_Old",6,1,89,334,1,"inside_034_a.jpg","outside_019_a.jpg",3,4,73,1239,1,1,4,5,73,366,73,696,73,998,85,403,"Cortisol","Cortisol",3,"Happy",3,"High",2,"Low",3,"Happy",3,"High",2,"Low",3,0,0,0,0
"9001","a","alc",1,"alc_l_025.jpg",1,"outside_007_a.jpg",25,49,50,49,1011,1443,1159,"alc",321,"old",1,10,73,305,1,"Uns_Old",8,2,79,522,1,"outside_007_a.jpg","inside_067_a.jpg",3,4,73,1443,1,1,3,22,89,344,89,413,85,1040,89,356,"Cortisol","Cortisol",1,"Unhappy",2,"Low",1,"Low",1,"Unhappy",2,"Low",1,"Low",1,0,0,0,0
