netA,netB,pvalue,percentage,behavior,condition,pill,sign
medfront,medfront,0.019407163020847773,198.0,arousal,alc,cortisol,pos
medfront,frontoparietal,9.477070239682917e-10,353.0,arousal,alc,cortisol,pos
medfront,DMN,0.1610652335933187,103.0,arousal,alc,cortisol,pos
medfront,motor,0.9744269027469393,151.0,arousal,alc,cortisol,pos
medfront,visA,0.7563948848065172,80.0,arousal,alc,cortisol,pos
medfront,visB,0.23691641686959197,45.0,arousal,alc,cortisol,pos
medfront,visassoc,0.9999999648505208,33.0,arousal,alc,cortisol,pos
medfront,salience,0.006647757333664073,192.0,arousal,alc,cortisol,pos
medfront,subcort,0.9949582571119436,21.0,arousal,alc,cortisol,pos
medfront,cerebell,1.1583111010127212e-05,97.0,arousal,alc,cortisol,pos
frontoparietal,medfront,9.477070239682917e-10,353.0,arousal,alc,cortisol,pos
frontoparietal,frontoparietal,0.0,508.0,arousal,alc,cortisol,pos
frontoparietal,DMN,3.5610058447543835e-05,184.0,arousal,alc,cortisol,pos
frontoparietal,motor,0.19554992267582305,269.0,arousal,alc,cortisol,pos
frontoparietal,visA,0.0003576806673837307,174.0,arousal,alc,cortisol,pos
frontoparietal,visB,2.7966517990307693e-12,132.0,arousal,alc,cortisol,pos
frontoparietal,visassoc,0.3071044224317172,136.0,arousal,alc,cortisol,pos
frontoparietal,salience,0.00010754305377735918,277.0,arousal,alc,cortisol,pos
frontoparietal,subcort,0.9768888496273078,36.0,arousal,alc,cortisol,pos
frontoparietal,cerebell,0.0,196.0,arousal,alc,cortisol,pos
DMN,medfront,0.1610652335933187,103.0,arousal,alc,cortisol,pos
DMN,frontoparietal,3.5610058447543835e-05,184.0,arousal,alc,cortisol,pos
DMN,DMN,0.42675293815039317,48.0,arousal,alc,cortisol,pos
DMN,motor,0.9991867673089724,61.0,arousal,alc,cortisol,pos
DMN,visA,0.4134534390831288,50.0,arousal,alc,cortisol,pos
DMN,visB,0.27001614999307066,25.0,arousal,alc,cortisol,pos
DMN,visassoc,0.19247006509995535,60.0,arousal,alc,cortisol,pos
DMN,salience,0.11417426580514323,96.0,arousal,alc,cortisol,pos
DMN,subcort,0.9971768443976182,7.0,arousal,alc,cortisol,pos
DMN,cerebell,0.10713386397844216,37.0,arousal,alc,cortisol,pos
motor,medfront,0.9744269027469393,151.0,arousal,alc,cortisol,pos
motor,frontoparietal,0.19554992267582305,269.0,arousal,alc,cortisol,pos
motor,DMN,0.9991867673089724,61.0,arousal,alc,cortisol,pos
motor,motor,1.0,20.0,arousal,alc,cortisol,pos
motor,visA,0.8569343869427738,86.0,arousal,alc,cortisol,pos
motor,visB,0.9299092515229213,30.0,arousal,alc,cortisol,pos
motor,visassoc,0.999999999999693,23.0,arousal,alc,cortisol,pos
motor,salience,0.9999999993897061,73.0,arousal,alc,cortisol,pos
motor,subcort,0.9999999993777607,3.0,arousal,alc,cortisol,pos
motor,cerebell,0.9999665403211758,20.0,arousal,alc,cortisol,pos
visA,medfront,0.7563948848065172,80.0,arousal,alc,cortisol,pos
visA,frontoparietal,0.0003576806673837307,174.0,arousal,alc,cortisol,pos
visA,DMN,0.4134534390831288,50.0,arousal,alc,cortisol,pos
visA,motor,0.8569343869427738,86.0,arousal,alc,cortisol,pos
visA,visA,0.9898587677304524,26.0,arousal,alc,cortisol,pos
visA,visB,0.3784448150946975,22.0,arousal,alc,cortisol,pos
visA,visassoc,0.7699650146101182,44.0,arousal,alc,cortisol,pos
visA,salience,0.9987771393236642,47.0,arousal,alc,cortisol,pos
visA,subcort,0.9999029538901067,3.0,arousal,alc,cortisol,pos
visA,cerebell,0.9872170848008747,13.0,arousal,alc,cortisol,pos
visB,medfront,0.23691641686959197,45.0,arousal,alc,cortisol,pos
visB,frontoparietal,2.7966517990307693e-12,132.0,arousal,alc,cortisol,pos
visB,DMN,0.27001614999307066,25.0,arousal,alc,cortisol,pos
