netA,netB,pvalue,percentage,stim1,stim2,pill,sign
medfront,medfront,0.638222578508898,1.0,alc,alc,cortisol,pos
medfront,frontoparietal,0.04863153030180978,7.0,alc,alc,cortisol,pos
medfront,DMN,0.4300388209689625,0.5,alc,alc,cortisol,pos
medfront,motor,0.32162924551466965,3.5,alc,alc,cortisol,pos
medfront,visA,0.10762206350326031,2.0,alc,alc,cortisol,pos
medfront,visB,0.21530951801646236,0.5,alc,alc,cortisol,pos
medfront,visassoc,0.45113420261766035,0.0,alc,alc,cortisol,pos
medfront,salience,0.23868084876076923,2.0,alc,alc,cortisol,pos
medfront,subcort,0.23013088882649946,0.0,alc,alc,cortisol,pos
medfront,cerebell,0.2719771369946682,0.5,alc,alc,cortisol,pos
frontoparietal,medfront,0.04863153030180978,7.0,alc,alc,cortisol,pos
frontoparietal,frontoparietal,0.5506140920919063,2.0,alc,alc,cortisol,pos
frontoparietal,DMN,0.5313680003196948,1.0,alc,alc,cortisol,pos
frontoparietal,motor,0.7939872351566295,0.5,alc,alc,cortisol,pos
frontoparietal,visA,0.5313680003196948,1.5,alc,alc,cortisol,pos
frontoparietal,visB,0.2788954873346121,0.0,alc,alc,cortisol,pos
frontoparietal,visassoc,0.5546499673269253,1.0,alc,alc,cortisol,pos
frontoparietal,salience,0.7191573677393159,1.5,alc,alc,cortisol,pos
frontoparietal,subcort,0.2968712952741621,0.0,alc,alc,cortisol,pos
frontoparietal,cerebell,0.008947860362783389,4.0,alc,alc,cortisol,pos
DMN,medfront,0.4300388209689625,0.5,alc,alc,cortisol,pos
DMN,frontoparietal,0.5313680003196948,1.0,alc,alc,cortisol,pos
DMN,DMN,0.25591879818412444,0.0,alc,alc,cortisol,pos
DMN,motor,0.4696471648556312,0.0,alc,alc,cortisol,pos
DMN,visA,0.26348886803511484,1.0,alc,alc,cortisol,pos
DMN,visB,0.12391096900459764,0.5,alc,alc,cortisol,pos
DMN,visassoc,0.042073389647800497,2.0,alc,alc,cortisol,pos
DMN,salience,0.3999883215618145,0.5,alc,alc,cortisol,pos
DMN,subcort,0.13279392488682606,0.0,alc,alc,cortisol,pos
DMN,cerebell,0.1589169574802225,1.0,alc,alc,cortisol,pos
motor,medfront,0.32162924551466965,3.5,alc,alc,cortisol,pos
motor,frontoparietal,0.7939872351566295,0.5,alc,alc,cortisol,pos
motor,DMN,0.4696471648556312,0.0,alc,alc,cortisol,pos
motor,motor,0.7270563669829373,0.0,alc,alc,cortisol,pos
motor,visA,0.4696471648556312,0.0,alc,alc,cortisol,pos
motor,visB,0.23951379143033513,0.0,alc,alc,cortisol,pos
motor,visassoc,0.4917557078157002,0.0,alc,alc,cortisol,pos
motor,salience,0.2827172916759568,2.0,alc,alc,cortisol,pos
motor,subcort,0.25541142685010243,0.0,alc,alc,cortisol,pos
motor,cerebell,0.30117700588124796,0.0,alc,alc,cortisol,pos
visA,medfront,0.10762206350326031,2.0,alc,alc,cortisol,pos
visA,frontoparietal,0.5313680003196948,1.5,alc,alc,cortisol,pos
visA,DMN,0.26348886803511484,1.0,alc,alc,cortisol,pos
visA,motor,0.4696471648556312,0.0,alc,alc,cortisol,pos
visA,visA,0.25591879818412444,1.0,alc,alc,cortisol,pos
visA,visB,0.12391096900459764,1.5,alc,alc,cortisol,pos
visA,visassoc,0.27840346173888886,0.5,alc,alc,cortisol,pos
visA,salience,0.3999883215618145,0.5,alc,alc,cortisol,pos
visA,subcort,0.13279392488682606,0.0,alc,alc,cortisol,pos
visA,cerebell,0.1589169574802225,0.5,alc,alc,cortisol,pos
visB,medfront,0.21530951801646236,0.5,alc,alc,cortisol,pos
visB,frontoparietal,0.2788954873346121,0.0,alc,alc,cortisol,pos
