netA,netB,pvalue,percentage,behavior,pill,sign
medfront,medfront,0.9785371058866588,5.0,arousal,cortisol,pos
medfront,frontoparietal,0.31029085619161845,23.5,arousal,cortisol,pos
medfront,DMN,0.7766159546513566,4.5,arousal,cortisol,pos
medfront,motor,0.926043448099942,8.5,arousal,cortisol,pos
medfront,visA,0.22716965004890888,10.0,arousal,cortisol,pos
medfront,visB,0.528725075008011,3.0,arousal,cortisol,pos
medfront,visassoc,0.9330217324350958,2.5,arousal,cortisol,pos
medfront,salience,0.9104370205736811,6.5,arousal,cortisol,pos
medfront,subcort,0.8528916889913649,0.5,arousal,cortisol,pos
medfront,cerebell,0.4078088558858385,4.5,arousal,cortisol,pos
frontoparietal,medfront,0.31029085619161845,23.5,arousal,cortisol,pos
frontoparietal,frontoparietal,0.1265241646932873,34.0,arousal,cortisol,pos
frontoparietal,DMN,0.9136727433235112,4.0,arousal,cortisol,pos
frontoparietal,motor,0.16944277905407779,29.5,arousal,cortisol,pos
frontoparietal,visA,0.004007157086077129,24.0,arousal,cortisol,pos
frontoparietal,visB,3.401632200072946e-05,21.5,arousal,cortisol,pos
frontoparietal,visassoc,0.03555686590867002,20.0,arousal,cortisol,pos
frontoparietal,salience,0.13288283442230342,25.5,arousal,cortisol,pos
frontoparietal,subcort,0.727737962553671,2.0,arousal,cortisol,pos
frontoparietal,cerebell,0.0003511470036544617,21.5,arousal,cortisol,pos
DMN,medfront,0.7766159546513566,4.5,arousal,cortisol,pos
DMN,frontoparietal,0.9136727433235112,4.0,arousal,cortisol,pos
DMN,DMN,0.6357411887952129,3.0,arousal,cortisol,pos
DMN,motor,0.8404626309565721,4.5,arousal,cortisol,pos
DMN,visA,0.6540017102187825,3.0,arousal,cortisol,pos
DMN,visB,0.6207010027926313,1.0,arousal,cortisol,pos
DMN,visassoc,0.6883261584472838,3.0,arousal,cortisol,pos
DMN,salience,0.9763247372038163,1.0,arousal,cortisol,pos
DMN,subcort,0.6479961157682175,0.0,arousal,cortisol,pos
DMN,cerebell,0.718678248563414,0.5,arousal,cortisol,pos
motor,medfront,0.926043448099942,8.5,arousal,cortisol,pos
motor,frontoparietal,0.16944277905407779,29.5,arousal,cortisol,pos
motor,DMN,0.8404626309565721,4.5,arousal,cortisol,pos
motor,motor,0.9999263254081275,1.0,arousal,cortisol,pos
motor,visA,0.007277093430743342,21.5,arousal,cortisol,pos
motor,visB,0.3221704956020588,5.5,arousal,cortisol,pos
motor,visassoc,0.5456053375409343,9.5,arousal,cortisol,pos
motor,salience,0.9495348286630306,7.0,arousal,cortisol,pos
motor,subcort,0.8848209897884527,0.0,arousal,cortisol,pos
motor,cerebell,0.7364321814957894,2.0,arousal,cortisol,pos
visA,medfront,0.22716965004890888,10.0,arousal,cortisol,pos
visA,frontoparietal,0.004007157086077129,24.0,arousal,cortisol,pos
visA,DMN,0.6540017102187825,3.0,arousal,cortisol,pos
visA,motor,0.007277093430743342,21.5,arousal,cortisol,pos
visA,visA,0.36522244413661586,4.0,arousal,cortisol,pos
visA,visB,0.2515733085488644,2.0,arousal,cortisol,pos
visA,visassoc,0.09183935145577005,8.0,arousal,cortisol,pos
visA,salience,0.5099700577012585,6.0,arousal,cortisol,pos
visA,subcort,0.6479961157682175,0.0,arousal,cortisol,pos
visA,cerebell,0.718678248563414,0.5,arousal,cortisol,pos
visB,medfront,0.528725075008011,3.0,arousal,cortisol,pos
visB,frontoparietal,3.401632200072946e-05,21.5,arousal,cortisol,pos
visB,DMN,0.6207010027926313,1.0,arousal,cortisol,pos
visB,motor,0.3221704956020588,5.5,arousal,cortisol,pos
visB,visA,0.2515733085488644,2.0,arousal,cortisol,pos
visB,visB,0.006964134039796788,4.0,arousal,cortisol,pos
visB,visassoc,0.000639538838635767,10.0,arousal,cortisol,pos
visB,salience,0.21861107579079575,5.5,arousal,cortisol,pos
visB,subcort,0.363688916534191,0.0,arousal,cortisol,pos
visB,cerebell,0.4210441131354914,0.0,arousal,cortisol,pos
visassoc,medfront,0.9330217324350958,2.5,arousal,cortisol,pos
visassoc,frontoparietal,0.03555686590867002,20.0,arousal,cortisol,pos
visassoc,DMN,0.6883261584472838,3.0,arousal,cortisol,pos
visassoc,motor,0.5456053375409343,9.5,arousal,cortisol,pos
visassoc,visA,0.09183935145577005,8.0,arousal,cortisol,pos
visassoc,visB,0.000639538838635767,10.0,arousal,cortisol,pos
visassoc,visassoc,0.10186032763064634,9.0,arousal,cortisol,pos
visassoc,salience,0.10503394120618426,12.0,arousal,cortisol,pos
visassoc,subcort,0.6717012175640296,0.0,arousal,cortisol,pos
visassoc,cerebell,0.15316859985953668,5.5,arousal,cortisol,pos
salience,medfront,0.9104370205736811,6.5,arousal,cortisol,pos
salience,frontoparietal,0.13288283442230342,25.5,arousal,cortisol,pos
salience,DMN,0.9763247372038163,1.0,arousal,cortisol,pos
salience,motor,0.9495348286630306,7.0,arousal,cortisol,pos
salience,visA,0.5099700577012585,6.0,arousal,cortisol,pos
salience,visB,0.21861107579079575,5.5,arousal,cortisol,pos
salience,visassoc,0.10503394120618426,12.0,arousal,cortisol,pos
salience,salience,0.997834086204219,1.0,arousal,cortisol,pos
salience,subcort,0.8248159170373659,0.0,arousal,cortisol,pos
salience,cerebell,0.8795250514505155,0.5,arousal,cortisol,pos
subcort,medfront,0.8528916889913649,0.5,arousal,cortisol,pos
subcort,frontoparietal,0.727737962553671,2.0,arousal,cortisol,pos
subcort,DMN,0.6479961157682175,0.0,arousal,cortisol,pos
subcort,motor,0.8848209897884527,0.0,arousal,cortisol,pos
subcort,visA,0.6479961157682175,0.0,arousal,cortisol,pos
subcort,visB,0.363688916534191,0.0,arousal,cortisol,pos
subcort,visassoc,0.6717012175640296,0.0,arousal,cortisol,pos
subcort,salience,0.8248159170373659,0.0,arousal,cortisol,pos
subcort,subcort,0.363688916534191,0.0,arousal,cortisol,pos
subcort,cerebell,0.4463832868924995,0.5,arousal,cortisol,pos
cerebell,medfront,0.4078088558858385,4.5,arousal,cortisol,pos
cerebell,frontoparietal,0.0003511470036544617,21.5,arousal,cortisol,pos
cerebell,DMN,0.718678248563414,0.5,arousal,cortisol,pos
cerebell,motor,0.7364321814957894,2.0,arousal,cortisol,pos
cerebell,visA,0.718678248563414,0.5,arousal,cortisol,pos
cerebell,visB,0.4210441131354914,0.0,arousal,cortisol,pos
cerebell,visassoc,0.15316859985953668,5.5,arousal,cortisol,pos
cerebell,salience,0.8795250514505155,0.5,arousal,cortisol,pos
cerebell,subcort,0.4463832868924995,0.5,arousal,cortisol,pos
cerebell,cerebell,0.49126753508203236,0.0,arousal,cortisol,pos
medfront,medfront,0.725336695629557,0.0,arousal,placebo,pos
medfront,frontoparietal,0.8309969447704423,0.0,arousal,placebo,pos
medfront,DMN,0.5105690873854175,0.0,arousal,placebo,pos
medfront,motor,0.7737234307239222,0.0,arousal,placebo,pos
medfront,visA,0.5105690873854175,0.0,arousal,placebo,pos
medfront,visB,0.2652038277340014,0.0,arousal,placebo,pos
medfront,visassoc,0.5334756176528879,0.5,arousal,placebo,pos
medfront,salience,0.6974611739990313,0.0,arousal,placebo,pos
medfront,subcort,0.28279795165466515,0.0,arousal,placebo,pos
medfront,cerebell,0.3319743118064008,0.0,arousal,placebo,pos
frontoparietal,medfront,0.8309969447704423,0.0,arousal,placebo,pos
frontoparietal,frontoparietal,0.4121703450581897,4.0,arousal,placebo,pos
frontoparietal,DMN,0.6183690724847395,0.5,arousal,placebo,pos
frontoparietal,motor,0.047366354523931786,8.0,arousal,placebo,pos
frontoparietal,visA,0.07073550837896825,4.0,arousal,placebo,pos
frontoparietal,visB,0.0647194819939142,2.5,arousal,placebo,pos
frontoparietal,visassoc,0.27128843196540653,3.0,arousal,placebo,pos
